Year,Anomaly
1960,0.00
1961,0.08
1962,0.05
1963,0.03
1964,0.00
1965,-0.15
1966,-0.05
1967,-0.01
1968,-0.01
1969,0.00
1970,0.12
1971,-0.03
1972,-0.04
1973,0.20
1974,0.03
1975,0.03
1976,-0.07
1977,0.09
1978,0.16
1979,0.09
1980,0.32
1981,0.32
1982,0.24
1983,0.29
1984,0.29
1985,0.16
1986,0.21
1987,0.23
1988,0.42
1989,0.30
1990,0.40
1991,0.41
1992,0.40
1993,0.22
1994,0.24
1995,0.44
1996,0.41
1997,0.36
1998,0.62
1999,0.53
2000,0.43
2001,0.43
2002,0.62
2003,0.60
2004,0.62
2005,0.60
2006,0.67
2007,0.71
2008,0.53
2009,0.60
2010,0.77
2011,0.64
2012,0.62
2013,0.67
2014,0.73
2015,0.80
2016,1.05
2017,0.96
2018,0.87
2019,0.92
2020,1.04
2021,0.87
2022,0.91
2023,0.94
2024,1.30
