STATES,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021
A & N Islands,51,49,106,115,136,108,132,147,135,301,343
Andhra Pradesh,28246,28171,32809,16512,15931,16362,17909,16438,17746,17089,17752
Arunachal Pradesh,171,201,288,351,384,367,337,368,317,281,366
Assam,11503,13544,17449,19139,23258,20869,23082,27728,30025,26352,29046
Bihar,10231,11229,13609,15383,13891,13400,14711,16920,18587,15359,17950
Chandigarh,156,241,488,432,463,414,453,442,515,61,99
Chhattisgarh,4219,4228,7012,344,5720,5947,7996,8587,7689,7385,7344
D&N Haveli,18,16,21,21,25,28,20,38,49,10093,14277
Daman & Diu,11,11,24,15,28,41,26,16,33,3405,3937
Delhi UT,5234,5959,12888,15265,17104,15310,13076,13640,13395,9,18
Goa,127,200,440,488,365,371,369,362,329,219,224
Gujarat,8815,9561,12283,10837,7762,8532,8133,8329,8799,8028,7348
Haryana,5491,6002,9089,8974,9446,9839,11370,14326,14683,13000,16658
Himachal Pradesh,997,912,1478,1517,1289,1222,1246,1633,1636,1614,1599
Jammu & Kashmir,3146,3328,3509,3321,3363,2850,3129,3437,3069,7630,8110
Jharkhand,3132,4536,3506,5972,6518,5453,5911,7083,8760,12680,14468
Karnataka,9594,10366,12027,13914,12705,14131,14078,13514,13828,10139,13539
Kerala,11288,10930,11216,11380,9708,10034,11057,10461,11462,25640,30673
Lakshadweep,0,2,3,4,9,9,6,11,38,15,9
Madhya Pradesh,16599,16832,22061,28678,24135,26604,29788,28942,27560,31954,39526
Maharashtra,15728,16353,24895,26693,31126,31388,31979,35497,37144,247,302
Manipur,247,304,285,337,266,253,236,271,266,568,685
Meghalaya,269,255,343,388,334,372,567,571,558,172,176
Mizoram,167,199,117,258,158,120,301,249,170,39,54
Nagaland,38,51,67,67,90,105,79,75,43,25489,31352
Odisha,9433,11988,14713,14606,17144,17837,20098,20274,23183,4838,5662
Puducherry,89,61,86,77,80,95,147,166,95,113,153
Punjab,2641,3238,4994,5425,5291,5105,4620,5302,5886,34535,40738
Rajasthan,19888,21106,27933,31151,28165,27422,25993,27866,41550,140,130
Sikkim,55,68,93,110,53,153,163,172,125,6630,8501
Tamil Nadu,6940,7192,7475,6325,5847,4463,5397,5822,5934,17791,20865
Telangana,0,0,0,14136,15135,15374,17521,16027,18394,874,807
Tripura,1358,1559,1682,1615,1267,1013,972,907,1070,49385,56083
Uttar Pradesh,22639,23569,32546,38467,35527,49262,56011,59445,59853,2846,3431
Uttarakhand,996,1067,1719,1395,1453,1588,1944,2817,2541,36439,35884
West Bengal,29133,30942,29826,38299,33218,32513,30992,30394,30394,143,169
