Entity,Total Deaths
Afghanistan,1087319
African Region who,36492570
Albania,106427
Algeria,916749
American Samoa,1755
Andorra,2801
Angola,866544
Antigua and Barbuda,2789
Argentina,1658333
Armenia,139341
Australia,759838
Austria,392053
Azerbaijan,379086
Bahamas,12032
Bahrain,18057
Bangladesh,3916498
Barbados,13249
Belarus,603525
Belgium,524113
Belize,8848
Benin,424516
Bermuda,2657
Bhutan,19726
Bolivia,354191
Bosnia and Herzegovina,184075
Botswana,102267
Brazil,6469472
Brunei,8267
Bulgaria,617393
Burkina Faso,877939
Burundi,400600
Cambodia,541806
Cameroon,999440
Canada,1284477
Cape Verde,15768
Central African Republic,332047
Chad,706450
Chile,526651
China,49994212
Colombia,1117437
Comoros,24171
Congo,172635
Cook Islands,788
Costa Rica,112185
Cote dIvoire,886989
Croatia,252348
Cuba,496567
Cyprus,38659
Czechia,547112
Democratic Republic of Congo,2717536
Denmark,256932
Djibouti,35842
Dominica,3564
Dominican Republic,346901
East Asia & Pacific wb,81800546
East Timor,36041
Eastern Mediterranean Region who,19598639
Ecuador,435942
Egypt,2960287
El Salvador,198862
England,2353862
Equatorial Guinea,34938
Eritrea,211965
Estonia,77124
Eswatini,58578
Ethiopia,2706593
Europe & Central Asia wb,45089744
European Region who,45434134
Fiji,34884
Finland,261825
France,2719530
G20,175839536
Gabon,57084
Gambia,62928
Georgia,252390
Germany,4527651
Ghana,1004283
Greece,597246
Greenland,2222
Grenada,3774
Guam,5243
Guatemala,446057
Guinea,538042
GuineaBissau,70660
Guyana,32097
Haiti,455456
Honduras,253028
Hungary,639217
Iceland,9618
India,42826410
Indonesia,8382016
Iran,1821498
Iraq,862490
Ireland,148264
Israel,211937
Italy,3020757
Jamaica,90345
Japan,6556065
Jordan,133308
Kazakhstan,701260
Kenya,1437851
Kiribati,5539
Kuwait,42520
Kyrgyzstan,175213
Laos,209844
Latin America & Caribbean wb,18834687
Latvia,134637
Lebanon,162872
Lesotho,166100
Liberia,143749
Libya,147072
Lithuania,194792
Luxembourg,18928
Madagascar,788533
Malawi,575883
Malaysia,771584
Maldives,6362
Mali,945554
Malta,17109
Marshall Islands,1972
Mauritania,99907
Mauritius,50317
Mexico,3457920
Micronesiacountry,4454
Middle East & North Africa wb,10886981
Moldova,222137
Monaco,2572
Mongolia,118203
Montenegro,33974
Morocco,1083993
Mozambique,1263635
Myanmar,2028261
Namibia,93676
Nauru,314
Nepal,919121
Netherlands,706312
New Zealand,154071
Nicaragua,140261
Niger,910079
Nigeria,7375964
Niue,90
North America wb,14833149
North Korea,1142854
North Macedonia,117558
Northern Ireland,76364
Northern Mariana Islands,1669
Norway,190280
OECD Countries,53530774
Oman,60771
Pakistan,7066266
Palau,954
Palestine,76108
Panama,92317
Papua New Guinea,306347
Paraguay,156405
Peru,716203
Philippines,2990100
Poland,1950264
Portugal,540805
Puerto Rico,152362
Qatar,18564
Region of the Americas who,33506741
Romania,1315167
Russia,8937198
Rwanda,327806
Saint Kitts and Nevis,2226
Saint Lucia,6355
Saint Vincent and the Grenadines,4767
Samoa,6529
San Marino,1444
Sao Tome and Principe,4776
Saudi Arabia,556884
Scotland,280049
Senegal,423202
Serbia,575078
Seychelles,3768
Sierra Leone,326219
Singapore,103630
Slovakia,266149
Slovenia,96771
Solomon Islands,28395
Somalia,851333
South Africa,2655576
South Asia wb,56479771
South Korea,1443866
South Sudan,355292
SouthEast Asia Region who,62204210
Spain,2000692
Sri Lanka,638083
SubSaharan Africa wb,37355797
Sudan,928642
Suriname,19917
Sweden,440668
Switzerland,319444
Syria,527503
Taiwan,865091
Tajikistan,234930
Tanzania,1682371
Thailand,2288856
Togo,257770
Tokelau,40
Tonga,3199
Trinidad and Tobago,53702
Tunisia,317494
Turkey,2140543
Turkmenistan,167442
Tuvalu,509
Uganda,1177768
Ukraine,3524847
United Arab Emirates,119535
United Kingdom,2868216
United States,13542822
United States Virgin Islands,6071
Uruguay,157788
Uzbekistan,1030239
Vanuatu,10311
Venezuela,830648
Vietnam,2993846
Wales,157937
Western Pacific Region who,67645754
Yemen,796382
Zambia,603899
Zimbabwe,634189
